image_name,DER,MSB,PSNR,SSIM
0.pgm,2.2947311401367188,6,inf,1
1.pgm,3.4821701049804688,6,inf,1
2.pgm,3.089160919189453,6,inf,1
3.pgm,2.28204345703125,5,inf,1
4.pgm,1.4581832885742188,3,inf,1
5.pgm,1.8327827453613281,4,inf,1
6.pgm,2.8619003295898438,6,inf,1
7.pgm,2.1082763671875,5,inf,1
8.pgm,1.818878173828125,5,inf,1
9.pgm,2.8624534606933594,6,inf,1
10.pgm,2.3173980712890625,5,inf,1
11.pgm,1.3597488403320312,6,inf,1
12.pgm,3.025360107421875,6,inf,1
13.pgm,2.540740966796875,6,inf,1
14.pgm,2.0534324645996094,6,inf,1
15.pgm,2.4495506286621094,6,inf,1
16.pgm,1.0499763488769531,6,inf,1
17.pgm,1.6541595458984375,5,inf,1
18.pgm,1.211395263671875,6,inf,1
19.pgm,2.4209136962890625,5,inf,1
20.pgm,1.5313720703125,6,inf,1
21.pgm,2.1124725341796875,5,inf,1
22.pgm,3.025989532470703,6,inf,1
23.pgm,2.3078155517578125,6,inf,1
24.pgm,2.4097824096679688,6,inf,1
25.pgm,2.1093292236328125,5,inf,1
26.pgm,2.3806381225585938,6,inf,1
27.pgm,3.0880165100097656,6,inf,1
28.pgm,3.2236099243164062,6,inf,1
29.pgm,3.2478904724121094,6,inf,1
30.pgm,2.813934326171875,5,inf,1
31.pgm,2.4723052978515625,5,inf,1
32.pgm,3.336944580078125,6,inf,1
33.pgm,3.7882423400878906,6,inf,1
34.pgm,1.5479850769042969,6,inf,1
35.pgm,1.9186363220214844,4,inf,1
36.pgm,2.7122039794921875,5,inf,1
37.pgm,3.3400344848632812,6,inf,1
38.pgm,3.5699081420898438,6,inf,1
39.pgm,1.6082000732421875,6,inf,1
40.pgm,2.49896240234375,5,inf,1
41.pgm,3.9756202697753906,6,inf,1
42.pgm,2.305908203125,5,inf,1
43.pgm,1.5690155029296875,3,inf,1
44.pgm,2.7028465270996094,6,inf,1
45.pgm,3.108081817626953,6,inf,1
46.pgm,2.8730392456054688,6,inf,1
47.pgm,3.3823585510253906,6,inf,1
48.pgm,2.9102134704589844,6,inf,1
49.pgm,2.326984405517578,4,inf,1
50.pgm,2.4199676513671875,5,inf,1
51.pgm,2.7919464111328125,5,inf,1
52.pgm,3.135662078857422,6,inf,1
53.pgm,2.301055908203125,5,inf,1
54.pgm,3.3940887451171875,6,inf,1
55.pgm,3.8731765747070312,6,inf,1
56.pgm,3.275890350341797,6,inf,1
57.pgm,3.607501983642578,6,inf,1
58.pgm,2.1317481994628906,4,inf,1
59.pgm,2.6934356689453125,5,inf,1
60.pgm,3.575000762939453,6,inf,1
61.pgm,3.0045318603515625,6,inf,1
62.pgm,3.8356971740722656,6,inf,1
63.pgm,3.7132835388183594,6,inf,1
64.pgm,3.1542396545410156,6,inf,1
65.pgm,1.9445037841796875,6,inf,1
66.pgm,3.6919403076171875,6,inf,1
67.pgm,3.4743309020996094,6,inf,1
68.pgm,3.6444664001464844,6,inf,1
69.pgm,2.63714599609375,5,inf,1
70.pgm,2.6272125244140625,5,inf,1
71.pgm,3.631439208984375,6,inf,1
72.pgm,2.5401458740234375,5,inf,1
73.pgm,3.1154823303222656,6,inf,1
74.pgm,2.1247100830078125,5,inf,1
75.pgm,0.7911491394042969,6,inf,1
76.pgm,3.0791091918945312,6,inf,1
77.pgm,3.12957763671875,6,inf,1
78.pgm,3.0805587768554688,6,inf,1
79.pgm,2.12255859375,5,inf,1
80.pgm,0.9165115356445312,7,inf,1
81.pgm,2.599945068359375,5,inf,1
82.pgm,2.0447158813476562,4,inf,1
83.pgm,2.19677734375,5,inf,1
84.pgm,2.0974044799804688,4,inf,1
85.pgm,3.7959861755371094,6,inf,1
86.pgm,3.5898971557617188,6,inf,1
87.pgm,3.5417747497558594,6,inf,1
88.pgm,3.5748291015625,6,inf,1
89.pgm,4.223232269287109,6,inf,1
90.pgm,3.4941673278808594,6,inf,1
91.pgm,2.936077117919922,6,inf,1
92.pgm,3.7112998962402344,6,inf,1
93.pgm,3.5297775268554688,6,inf,1
94.pgm,3.2289695739746094,6,inf,1
95.pgm,2.4979705810546875,5,inf,1
96.pgm,3.1735801696777344,6,inf,1
97.pgm,2.321868896484375,5,inf,1
98.pgm,2.089935302734375,5,inf,1
99.pgm,1.85882568359375,6,inf,1
100.pgm,2.1945648193359375,5,inf,1
101.pgm,2.463287353515625,5,inf,1
102.pgm,2.3417205810546875,5,inf,1
103.pgm,2.7898406982421875,6,inf,1
104.pgm,2.5507164001464844,6,inf,1
105.pgm,3.1192398071289062,6,inf,1
106.pgm,2.5064849853515625,5,inf,1
107.pgm,2.7906417846679688,6,inf,1
108.pgm,2.8102493286132812,6,inf,1
109.pgm,3.225116729736328,6,inf,1
110.pgm,3.1044960021972656,6,inf,1
111.pgm,3.3262062072753906,6,inf,1
112.pgm,2.738361358642578,6,inf,1
113.pgm,2.8948211669921875,6,inf,1
114.pgm,3.045635223388672,6,inf,1
115.pgm,3.0124855041503906,6,inf,1
116.pgm,2.9809188842773438,6,inf,1
117.pgm,2.390960693359375,5,inf,1
118.pgm,2.6792526245117188,6,inf,1
119.pgm,2.69989013671875,6,inf,1
120.pgm,2.5699615478515625,5,inf,1
121.pgm,3.4256744384765625,6,inf,1
122.pgm,3.1759796142578125,5,inf,1
123.pgm,3.2374191284179688,6,inf,1
124.pgm,2.9805374145507812,6,inf,1
125.pgm,3.0623245239257812,6,inf,1
126.pgm,2.722412109375,5,inf,1
127.pgm,2.7299957275390625,5,inf,1
128.pgm,3.5142898559570312,6,inf,1
129.pgm,2.4478302001953125,5,inf,1
130.pgm,3.7686920166015625,6,inf,1
131.pgm,2.5345611572265625,5,inf,1
132.pgm,2.3231048583984375,5,inf,1
133.pgm,2.231658935546875,5,inf,1
134.pgm,2.5142288208007812,6,inf,1
135.pgm,2.647705078125,6,inf,1
136.pgm,2.1383209228515625,5,inf,1
137.pgm,0.6849288940429688,6,inf,1
138.pgm,0.31981658935546875,7,inf,1
139.pgm,3.0559158325195312,6,inf,1
140.pgm,3.190460205078125,6,inf,1
141.pgm,2.3657684326171875,5,inf,1
142.pgm,2.7635955810546875,6,inf,1
143.pgm,2.969989776611328,6,inf,1
144.pgm,2.5417327880859375,6,inf,1
145.pgm,3.0768394470214844,6,inf,1
146.pgm,2.589397430419922,6,inf,1
147.pgm,2.675018310546875,6,inf,1
148.pgm,2.6050758361816406,6,inf,1
149.pgm,2.4761390686035156,6,inf,1
150.pgm,2.536102294921875,5,inf,1
151.pgm,3.4349441528320312,6,inf,1
152.pgm,2.5280380249023438,6,inf,1
153.pgm,2.7374267578125,5,inf,1
154.pgm,2.38525390625,5,inf,1
155.pgm,1.5656967163085938,3,inf,1
156.pgm,2.2078857421875,5,inf,1
157.pgm,3.0106658935546875,5,inf,1
158.pgm,3.0964279174804688,6,inf,1
159.pgm,3.0764007568359375,6,inf,1
160.pgm,2.961559295654297,6,inf,1
161.pgm,3.5810279846191406,6,inf,1
162.pgm,3.0991363525390625,6,inf,1
163.pgm,2.158824920654297,4,inf,1
164.pgm,1.6785240173339844,6,inf,1
165.pgm,2.48541259765625,5,inf,1
166.pgm,3.3014488220214844,6,inf,1
167.pgm,1.5665130615234375,3,inf,1
168.pgm,3.786773681640625,6,inf,1
169.pgm,1.9377593994140625,5,inf,1
170.pgm,2.5625,5,inf,1
171.pgm,3.120250701904297,6,inf,1
172.pgm,3.6481475830078125,6,inf,1
173.pgm,4.040184020996094,6,inf,1
